Symbol,Syn_Symbol,Family,Sci_Name_1,Sci_Name_2
ANDRO5,JUEC2,Acanthaceae,Andrographis,Wall.
ANEC,JUEC2,Acanthaceae,Andrographis,echioides
ANEC,JUEC2,Acanthaceae,Justicia,echioides
DIBR2,JUEC2,Acanthaceae,Dicliptera,brachiata
DIBR2,DIBR6,Acanthaceae,Diapedium,brachiatum
DIBR2,DIBRA,Acanthaceae,Dicliptera,brachiata
DIBR2,DIBRG,Acanthaceae,Dicliptera,brachiata
DIBR2,DIBRR,Acanthaceae,Dicliptera,brachiata
DIBR2,DIGL4,Acanthaceae,Dicliptera,glandulosa
DIBR2,JUBR8,Acanthaceae,Justicia,brachiata
DICLI,JUBR8,Acanthaceae,Dicliptera,Juss.
HYGRO,JUBR8,Acanthaceae,Hygrophila,R.
HYPO3,JUBR8,Acanthaceae,Hygrophila,polysperma
JUAM,JUBR8,Acanthaceae,Justicia,americana
JUAM,DIAM2,Acanthaceae,Dianthera,americana
JUAM,DIAMS,Acanthaceae,Dianthera,americana
JUAM,JUAMS,Acanthaceae,Justicia,americana
JUAM,JUMO2,Acanthaceae,Justicia,mortuifluminis
JUAM,JUUM,Acanthaceae,Justicia,umbratilis
JUOV,JUUM,Acanthaceae,Justicia,ovata
JUOVO,JUUM,Acanthaceae,Justicia,ovata
JUOVO,DIHU2,Acanthaceae,Dianthera,humilis
JUOVO,DIOV2,Acanthaceae,Dianthera,ovata
JUOVO,JUHU2,Acanthaceae,Justicia,humilis
JUSTI,JUHU2,Acanthaceae,Justicia,L.
RUCA4,JUHU2,Acanthaceae,Ruellia,caroliniensis
RUCAC,JUHU2,Acanthaceae,Ruellia,caroliniensis
RUCAC2,JUHU2,Acanthaceae,Ruellia,caroliniensis
RUCAC4,JUHU2,Acanthaceae,Ruellia,caroliniensis
RUCAC4,PACA14,Acanthaceae,Pattersonia,caroliniensis
RUCAC4,RUCAC6,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAD,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAM,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAN,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAP,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAS4,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUCAS5,Acanthaceae,Ruellia,caroliniensis
RUCAC4,RUHY3,Acanthaceae,Ruellia,hybrida
RUCAC4,RUPA21,Acanthaceae,Ruellia,parviflora
RUCAC5,RUPA21,Acanthaceae,Ruellia,caroliniensis
RUCAC5,RUCI4,Acanthaceae,Ruellia,ciliosa
RUCAC5,RUCIC,Acanthaceae,Ruellia,ciliosa
RUCAC5,RUHU6,Acanthaceae,Ruellia,humilis
RUELL,RUHU6,Acanthaceae,Ruellia,L.
RUHU,RUHU6,Acanthaceae,Ruellia,humilis
RUHU,RUCIL,Acanthaceae,Ruellia,ciliosa
RUHU,RUHUC,Acanthaceae,Ruellia,humilis
RUHU,RUHUD,Acanthaceae,Ruellia,humilis
RUHU,RUHUE,Acanthaceae,Ruellia,humilis
RUHU,RUHUF,Acanthaceae,Ruellia,humilis
RUHU,RUHUL,Acanthaceae,Ruellia,humilis
RUPU2,RUHUL,Acanthaceae,Ruellia,purshiana
RUST2,RUHUL,Acanthaceae,Ruellia,strepens
RUST2,DIMI4,Acanthaceae,Dipteracanthus,micranthus
RUST2,DIST4,Acanthaceae,Dipteracanthus,strepens
RUST2,RUSTC,Acanthaceae,Ruellia,strepens
RUST2,RUSTM,Acanthaceae,Ruellia,strepens
ACARO2,RUSTM,Acarosporaceae,Acarospora,A.
ACER,RUSTM,Aceraceae,Acer,L.
ACFL,RUSTM,Aceraceae,Acer,floridanum
ACFL,ACBA3,Aceraceae,Acer,barbatum
ACFL,ACBAL,Aceraceae,Acer,barbatum
ACFL,ACBAV,Aceraceae,Acer,barbatum
ACFL,ACFLL,Aceraceae,Acer,floridanum
ACFL,ACFLV,Aceraceae,Acer,floridanum
ACFL,ACNIF,Aceraceae,Acer,nigrum
