Rule,Antecedent Support,Consequent Support,Support,Confidence,Lift,Conviction
"{l,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,m,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,m,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {y,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
{b} --- > {o},0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
{o} --- > {b},0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{m,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {m,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,y} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {m,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{m,o} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,m,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
